ch x y m k z napr
1 3 2 0 0 0 0
1 4 2 0 0 0 0
1 5 2 0 0 0 0
1 3 2 1 0 0 0
1 2 3 0 0 0 0
1 6 3 0 0 0 0
1 5 3 1 0 0 0
1 3 3 2 0 0 0
1 5 3 2 0 0 0
1 6 3 2 0 0 0
3 4 4 0 0 0 80
1 3 4 1 0 0 0
1 5 4 1 0 0 0
1 3 4 2 0 0 0
2 4 4 2 0 0 86
1 6 4 2 0 0 0
1 2 5 0 0 0 0
1 6 5 0 0 0 0
1 4 5 1 0 0 0
1 5 5 1 0 0 0
1 3 5 2 0 0 0
1 5 5 2 0 0 0
1 6 5 2 0 0 0
1 3 6 1 0 0 0
1 3 3 1 1 0 0
1 4 3 1 1 0 0
1 5 3 1 1 0 0
1 3 4 1 1 0 0
1 4 4 1 1 0 0
1 5 4 1 1 0 0
1 3 5 1 1 0 0
1 4 5 1 1 0 0
1 5 5 1 1 0 0
1 6 2 0 2 0 0
1 3 2 1 2 0 0
1 3 2 2 2 0 0
1 5 2 2 2 0 0
1 2 3 0 2 0 0
1 3 3 0 2 0 0
1 5 3 0 2 0 0
1 3 3 1 2 0 0
1 4 3 1 2 0 0
1 5 3 1 2 0 0
1 3 3 2 2 0 0
1 5 3 2 2 0 0
1 2 4 0 2 0 0
2 4 4 0 2 0 86
1 4 4 1 2 0 0
3 4 4 2 2 0 80
1 2 5 0 2 0 0
1 3 5 0 2 0 0
1 5 5 0 2 0 0
1 3 5 1 2 0 0
1 5 5 1 2 0 0
1 4 5 2 2 0 0
1 6 6 0 2 0 0
1 2 6 2 2 0 0
1 3 6 2 2 0 0
1 4 6 2 2 0 0
1 5 6 2 2 0 0
1 6 6 2 2 0 0
2 3 2 0 0 1 86
3 4 3 0 0 1 80
1 5 3 1 0 1 0
3 2 3 2 0 1 80
2 2 4 1 0 1 86
1 5 4 1 0 1 0
2 6 5 0 0 1 78
2 3 5 1 0 1 78
1 5 5 1 0 1 0
1 4 5 2 0 1 0
3 2 6 0 0 1 80
2 5 6 0 0 1 86
2 4 6 1 0 1 86
3 2 6 2 0 1 80
2 5 6 2 0 1 86
1 2 2 0 1 1 0
1 6 2 0 1 1 0
3 6 3 0 1 1 80
2 2 3 1 1 1 78
2 3 3 1 1 1 78
1 4 4 0 1 1 0
2 4 4 1 1 1 86
3 6 5 0 1 1 80
2 5 5 1 1 1 78
2 6 5 1 1 1 86
3 5 2 0 2 1 80
5 4 2 1 2 1 0
3 3 2 2 2 1 80
3 4 3 0 2 1 76
3 3 3 2 2 1 80
3 4 4 2 2 1 76
3 2 5 0 2 1 80
3 5 5 2 2 1 76
2 6 6 0 2 1 86
5 4 6 1 2 1 0
3 5 6 2 2 1 80
5 2 2 1 0 2 0
5 4 2 1 0 2 0
5 5 2 2 0 2 0
5 6 2 2 0 2 0
5 6 3 2 0 2 0
5 2 4 1 0 2 0
5 4 2 0 1 2 0
5 5 2 0 1 2 0
5 6 2 0 1 2 0
5 5 3 0 1 2 0
5 5 5 1 1 2 0
5 6 5 1 1 2 0
5 5 6 1 1 2 0
5 6 6 1 1 2 0
5 2 6 2 1 2 0
5 6 6 2 1 2 0
5 4 2 0 2 2 0
5 6 2 2 2 2 0
5 6 3 0 2 2 0
5 2 4 0 2 2 0
5 6 5 0 2 2 0
5 5 6 0 2 2 0
5 2 6 2 2 2 0
